detected_class
pbottle
gbottle
pbag
pbottle
can
plastic
pbag
pbottle
pbottle
pbottle
pbottle
pbottle
gbottle
pbag
pbottle
can
pbottle
gbottle
pbag
pbottle
can
pbottle
gbottle
pbag
pbottle
can
pbottle
gbottle
pbag
pbottle
can
tire
pbag
pbag
pbottle
gbottle
pbag
pbottle
can
plastic
plastic
pbag
pbottle
Mask
Mask
pbottle
gbottle
pbag
pbottle
can
pbottle
gbottle
pbag
pbottle
can
pbottle
gbottle
pbag
pbottle
can
pbottle
gbottle
pbag
pbottle
can
plastic
pbag
pbottle
tire
pbag
pbottle
pbottle
pbottle
pbottle
pbottle
pbottle
plastic
pbag
pbottle
